Account Number,Merchant Name,Transaction Amount
61058,Amazon,1210
61058,Nike,-399
61058,Chili's,975
61058,Target,310
61058,Chili's,1296
61058,Subway,-185
61058,Chili's,-169
61058,Subway,875
61058,Starbucks,898
61058,Chili's,435
31442,Nike,391
31442,Target,705
31442,Costco,868
31442,Subway,520
31442,Nike,-341
31442,Walmart,-280
31442,Starbucks,971
31442,Amazon,680
31442,Starbucks,818
31442,Costco,-115
52533,McDonald's,-340
52533,Nike,426
52533,Nike,-496
52533,Nike,755
52533,Walmart,563
52533,Nike,467
52533,Best Buy,272
52533,Walmart,1003
52533,Best Buy,-382
52533,McDonald's,-108
96398,McDonald's,-451
96398,Amazon,1160
96398,Target,-64
96398,Chili's,1102
96398,Costco,1447
96398,Walmart,124
96398,Chili's,-18
96398,Chili's,1098
96398,McDonald's,1331
96398,McDonald's,128
45265,Target,301
45265,Subway,105
45265,Nike,-379
45265,Walmart,341
45265,Costco,388
45265,Best Buy,1221
45265,Best Buy,676
45265,Costco,1337
45265,Costco,-293
45265,Walmart,1250
77716,Target,1409
77716,Subway,347
77716,Nike,-384
77716,Costco,120
77716,Target,963
77716,Subway,1446
77716,Starbucks,295
77716,Costco,1156
77716,Nike,891
77716,Walmart,549
71500,Chili's,1060
71500,Costco,1463
71500,Costco,166
71500,Nike,1015
71500,Costco,815
71500,Subway,559
71500,Best Buy,0
71500,Costco,746
71500,Nike,1230
71500,Costco,-98
36355,Costco,829
36355,Costco,914
36355,Best Buy,328
36355,Costco,176
36355,McDonald's,638
36355,Costco,1323
36355,Nike,1036
36355,Best Buy,517
36355,Costco,567
36355,Nike,137
63588,McDonald's,848
63588,Subway,-191
63588,McDonald's,244
63588,Amazon,845
63588,Subway,938
63588,Starbucks,-156
63588,Best Buy,371
63588,Nike,1144
63588,Walmart,798
63588,Costco,1497
61834,Walmart,9
61834,Subway,-314
61834,McDonald's,1356
61834,Chili's,1344
61834,Best Buy,323
61834,Target,7
61834,Subway,443
61834,Best Buy,193
61834,Target,-4
61834,Target,1063
